__v,_id,approved,audioPlayer,audioShuffle,audioSticky,audioVolume,audios,availabilityStatus,avatarPosition,avatarUrl,backgroundDuration,backgroundLoop,backgroundShuffle,backgrounds,bannerPosition,bannerUrl,bio,contactMethods,createdAt,customization,description,displayName,featured,featuredProjects,github,headline,isPremium,isStaff,isVerified,lastSeen,likes,linkedin,location,premiumFeatures,profileBackgroundPosition,profileBadges,profileImages,role,roles,slug,status,tags,tools,twitter,updatedAt,userId,username,verificationBadge,views,website,weeklyLikes,weeklyViews
"""6918cd112e72901c68a01b83""","""6918cc662e72901c68a01b7a""",d,d,owner @ starlit,Designing since 2025.,United States,open,[],"[""CEO"",""Photoshop""]",Verified Staff,https://drewbxr.carrd.co/,true,false,2025-11-15T18:57:21.619Z,2026-01-18T16:53:23.270Z,7,32,true,[],"{""primaryColor"":""#3B82F6"",""secondaryColor"":""#8B5CF6"",""positioning"":""center"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":50,""profileBlur"":20,""backgroundEffect"":""stars"",""usernameEffect"":""glow"",""enterText"":""$"",""accentColor"":""#3B82F6"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#0A0A0A"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""gradient"",""backgroundGradient"":""linear-gradient(135deg, #667eea 0%, #764ba2 100%)"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeText"":"""",""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":true,""titleAnimation"":""typing"",""forceEnterScreen"":true,""showViews"":true,""viewsAnimation"":false,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":false,""allowComments"":false,""commentsPublic"":false,""theme"":""modern""}",Drew,true,[],[],drew,4,31,4,https://res.cloudinary.com/dhfwcylku/image/upload/v1768611031/starlit/profiles/avatars/jqbu8ehs4qajha76rtq2.png,https://cdn.discordapp.com/attachments/1433882807419015198/1449522313748938792/IMG_6803.jpg?ex=693f345a&is=693de2da&hm=2327e41738c86c7315b341fe83d0721419c0be5e850a57ff5e3d5422bb632ec6&,,owner @ starlit,[],Drewbxr,false,,"{""unlimitedImages"":true,""customDomain"":true,""prioritySupport"":true,""analyticsAccess"":true,""customBranding"":true,""adFree"":true}",,[],,none,center,center,2025-12-14T22:32:43.829Z,center,offline,false,false,false,true,"[{""url"":""https://res.cloudinary.com/dhfwcylku/video/upload/v1768611070/starlit/profiles/audio/qs42gjwufmdxol1fmnha.mp3"",""name"":""Drake - I Get Lonely (432Hz)"",""_id"":""696adcff7f427813c6d4cf19""}]",5,false,false,"[{""url"":""https://res.cloudinary.com/dhfwcylku/image/upload/v1768611054/starlit/profiles/backgrounds/dgpwwnfeqmulatesmpzd.png"",""position"":""center"",""_id"":""696adcf07f427813c6d4cf0f""},{""url"":""https://res.cloudinary.com/dhfwcylku/image/upload/v1768611355/starlit/profiles/backgrounds/cii47pc8uoyatk75rjsb.png"",""position"":""center"",""_id"":""696ade1d7f427813c6d4cf5f""},{""url"":""https://res.cloudinary.com/dhfwcylku/image/upload/v1768705438/starlit/profiles/backgrounds/zolw06fo6lcnluhpyutm.jpg"",""position"":""center"",""_id"":""696c4da03a25cd77b5f9609e""}]"
"""6922facff280a9da8de57cc8""","""6918de9088db45809edd5c29""",ice,realice,Realice,Just a regular guy trying to survive school.,,Chill guy? Yessir!!!,https://cdn.vervecustoms.com/logo/pfp.png,https://cdn.vervecustoms.com/banners/Realice.png,"London, GB",open,[],"[""Adobe Illustrator"",""Adobe Photoshop"",""Visual Studio Code"",""Python"",""React"",""Tailwind CSS""]","[""Developer"",""Full Stack Developer"",""UX Designer""]",Developer,[],"[""https://cdn.vervecustoms.com/banners/Realice.png""]",true,"{""primaryColor"":""#10B981"",""secondaryColor"":""#3B82F6"",""positioning"":""center"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":100,""profileOpacity"":100,""profileBlur"":10,""backgroundEffect"":""snow"",""usernameEffect"":""typing"",""enterText"":""Enter ts"",""accentColor"":""#06abfe"",""textColor"":""#919191"",""secondaryTextColor"":""#ffffff"",""backgroundColor"":""#1a1a1a"",""gradientEnabled"":true,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""image"",""backgroundGradient"":""linear-gradient(135deg, #667eea 0%, #764ba2 100%)"",""borderEnabled"":true,""borderColor"":""#591212"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeText"":""**bold**, *italic*, [links](url), `code`\n\n~~strikethrough~~\n\n> Quote from me\n\n- Bullet \n- Points\n- Are\n- Cool\n- Again\n# *ParkUI Doxs cus why not*\n\n| Prop | Default | Type |\n| --- | --- | --- |\n| `closeDelay` | 150 | `number`<br/>The close delay of the tooltip. |\n| `closeOnClick` | true | `boolean`<br/>Whether the tooltip should close on click |\n| `closeOnEscape` | true | `boolean`<br/>Whether to close the tooltip when the Escape key is pressed. |\n| `closeOnPointerDown` | true | `boolean`<br/>Whether to close the tooltip on pointerdown. |\n| `closeOnScroll` | true | `boolean`<br/>Whether the tooltip should close on scroll |\n| `interactive` | false | `boolean`<br/>Whether the tooltip's content is interactive.\n| `lazyMount` | false | `boolean`<br/>Whether to enable lazy mounting |\n| `openDelay` | 400 | `number`<br/>The open delay of the tooltip. |\n| `skipAnimationOnMount` | false | `boolean`<br/>Whether to allow the initial presence animation. |"",""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""24h"",""displayMode"":""relative"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":true,""titleAnimation"":""typing"",""forceEnterScreen"":true,""showViews"":true,""viewsAnimation"":true,""viewsAnimationDuration"":1700,""parallaxEnabled"":true,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":true,""allowComments"":true,""commentsPublic"":true,""theme"":""portfolio""}",,,,,true,false,1,2,2,1,true,2025-11-23T12:15:11.424Z,2026-01-16T22:18:05.526Z,3,,[],false,"{""unlimitedImages"":true,""customDomain"":true,""prioritySupport"":true,""analyticsAccess"":true,""customBranding"":true,""adFree"":true}",https://cdn.vervecustoms.com/banners/Realice.png,[],none,center,center,2025-12-14T22:40:36.542Z,center,offline,false,false,false,true,[],5,false,false,[]
"""693de07d61cd05485e4f1d86""","""693dd7dd7e0030b3466b2b41""",sonar,sonar,Sonar,Shaping Your Vision Into Quality,,Hey There! I am a developer who was heavily inspired on coding!,https://cdn.discordapp.com/attachments/1448750166172499968/1448750179288223794/CfvWoXwodi.png?ex=693f083f&is=693db6bf&hm=b7d92e5e87a81b5b94db59c2358417efcb1782ef6acace65de30715bb5e99ea3&,https://cdn.discordapp.com/attachments/1448750166172499968/1449512658205409320/oCCucWVc1w.png?ex=693f2b5c&is=693dd9dc&hm=c74ae1d096dbc20d1431bec83829d020cbb106a71fdffabf2511f9c374fe3a64&,United Kingdom,open,[],"[""Visual Studio Code""]","[""Developer"",""Designer""]",Developer,"[{""type"":""email"",""value"":""sonarsilly@proton.me"",""label"":"""",""_id"":""693df52baf1ae37bad9c6a4b""},{""type"":""discord"",""value"":""Sonarsilly"",""label"":"""",""_id"":""693df52baf1ae37bad9c6a4c""}]",[],true,"{""primaryColor"":""#0066fe"",""secondaryColor"":""#4d94fe"",""backgroundColor"":""#0A0A0A"",""positioning"":""center"",""theme"":""blue"",""backgroundType"":""solid"",""backgroundGradient"":""linear-gradient(135deg, #667eea 0%, #764ba2 100%)""}",,Sonarwashere,Sonarsilly,,true,true,2,3,3,2,true,2025-11-23T12:15:11.424Z,2025-12-13T23:22:19.158Z,4,center,center,,[],false,2025-12-13T23:20:20.954Z,"{""unlimitedImages"":true,""customDomain"":true,""prioritySupport"":true,""analyticsAccess"":true,""customBranding"":true,""adFree"":true}",center,,[],offline,none
"""6963faf1a4759f683df85e07""","""6963f9f4a4759f683df85dce""",a,a,alex,c++ enjoyer and teacher,,"i make things that actually work ",https://imgur.com/j1W26EO,center,,center,"Toronto, ON",open,offline,[],"[""Canva"",""GIMP"",""JavaScript"",""NodeJS"",""Python"",""React"",""Photopea"",""Tailwind CSS"",""TypeScript"",""Unity"",""Unreal Engine"",""Visual Studio Code"",""Vue"",""HTML"",""CSS"",""Adobe Photoshop"",""Adobe Express"",""Adobe Illustrator""]","[""Backend Developer"",""Developer"",""Frontend Developer"",""Game Developer"",""Mobile Developer"",""Musician"",""Photographer"",""Software Engineer"",""iOS Developer""]",Backend Developer,"[{""type"":""discord"",""value"":""cynthiaproject"",""label"":"""",""_id"":""696517c32d08d139b44bf9fb""}]",[],true,center,[],"{""primaryColor"":""#010c1d"",""secondaryColor"":""#e2d7fd"",""backgroundColor"":""#0A0A0A"",""positioning"":""left"",""theme"":""blue"",""backgroundType"":""gradient"",""backgroundGradient"":""linear-gradient(135deg, #667eea 0%, #764ba2 100%)""}",https://mrak.me,,piercingveil,,true,false,0,1,1,0,true,false,none,"{""unlimitedImages"":true,""customDomain"":true,""prioritySupport"":true,""analyticsAccess"":true,""customBranding"":true,""adFree"":true}",[],2026-01-11T19:33:05.337Z,2026-01-12T15:48:19.569Z,2026-01-11T19:33:05.337Z,2,2026-02-11T15:44:43.568Z,,
"""696b525280ce7c8c9f1c8f88""","""696b512780ce7c8c9f1c8f4a""",s,s,Sharkzy,Designer striving to craft perfection.,,"Hey! My name is Sharkzy and I have worked in various different titles across a variety of different servers. Some as staff positions and some as designer. If you need anything, feel free to shoot me a DM and I will try to get to you.",https://i.imgur.com/6OGuBXB.jpeg,center,https://i.imgur.com/01AD6dv.png,center,"Victoria, Australia",open,offline,[],"[""Canva"",""Photopea""]","[""Photographer"",""Logo Designer"",""Icon Designer"",""Graphic Designer"",""Game Developer"",""Game Designer"",""Editor"",""Designer"",""Developer""]",Photographer,[],[],false,center,[],"{""primaryColor"":""#10B981"",""secondaryColor"":""#3B82F6"",""positioning"":""center"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""none"",""usernameEffect"":""none"",""accentColor"":""#3B82F6"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#030303"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeText"":""Hi! My name is Sharkzy, and I’m a designer & contributor working across multiple Roblox titles.\n🌍 Based in Australia\n🔧 I primarily work in 3D design, UI design, and community management\n🚀 Contributed to 2B+ game visits\n🕸️ Staff at haunt.gg\n📁 My group: https://www.roblox.com/communities/96327783/sharkzy#!/about\n\n💬 Business inquiries or ASA-related appeals welcome.\n\n“Feel like an electric guitar, but I’m fading”…"",""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""showViews"":true,""viewsAnimation"":true,""viewsAnimationDuration"":3000,""parallaxEnabled"":true,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":true,""allowComments"":true,""commentsPublic"":false,""theme"":""portfolio"",""forceEnterScreen"":false}",false,false,5,false,false,true,false,,sharkzy23,sharkzy23,,true,false,1,0,0,1,false,false,none,"{""unlimitedImages"":false,""customDomain"":false,""prioritySupport"":false,""analyticsAccess"":false,""customBranding"":false,""adFree"":false}",[],[],[],2026-01-17T09:11:46.069Z,2026-01-17T09:14:46.112Z,2026-01-17T09:11:46.069Z,2
"""696e346906df1d1df8fa2e41""","""696e340506df1d1df8fa2e1b""",0,0,andrew,tuff,yuh,"Andrew
- Staff Member @ Soccer Zero
- Black
- Graphic Designer",https://res.cloudinary.com/dhfwcylku/image/upload/v1768830881/starlit/profiles/avatars/xlnhljtx5grd3xmvgggb.jpg,center,,center,Houston,open,offline,[],"[""Illustrator"",""Affinity Designer""]","[""Graphic Designer"",""Writer"",""Logo Designer""]",Graphic Designer,[],[],false,center,[],"{""primaryColor"":""#3B82F6"",""secondaryColor"":""#8B5CF6"",""positioning"":""center"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":0,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""rain"",""usernameEffect"":""glow"",""accentColor"":""#ffffff"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#030303"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":true,""borderColor"":""#ffffff"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeText"":""Im so cool"",""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""showViews"":true,""viewsAnimation"":true,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":true,""allowComments"":true,""commentsPublic"":true,""theme"":""modern""}",false,false,5,false,false,true,false,https://haunt.gg/andrew,,,,true,false,0,0,0,0,false,false,none,"{""unlimitedImages"":false,""customDomain"":false,""prioritySupport"":false,""analyticsAccess"":false,""customBranding"":false,""adFree"":false}",[],"[{""url"":""https://res.cloudinary.com/dhfwcylku/image/upload/v1768830713/starlit/profiles/backgrounds/fu72zu4kdppn5j6z5lqt.jpg"",""position"":""center"",""_id"":""696e36fa06df1d1df8fa2f20""}]","[{""url"":""https://res.cloudinary.com/dhfwcylku/video/upload/v1768830841/starlit/profiles/audio/kkvrvx2qu4nve1btckoi.mp3"",""name"":""[FREE] Nemzzz x Sample Type Beat ''AIRPLANE MODE''"",""_id"":""696e377b06df1d1df8fa2f39""},{""url"":""https://res.cloudinary.com/dhfwcylku/video/upload/v1768830915/starlit/profiles/audio/evm7e2l6dnyz0m8ofxcd.mp3"",""name"":""0dcf83cc-12cc-4c40-b72f-9e045eab2a08"",""_id"":""696e37c406df1d1df8fa2f70""}]",2026-01-19T13:40:57.214Z,2026-01-19T13:58:21.847Z,2026-01-19T13:40:57.214Z,3
"""696e391206df1d1df8fa3001""","""696e38da06df1d1df8fa2feb""",b,b,begot,x,x,,,center,,center,,open,offline,[],"[""TypeScript""]","[""Software Engineer""]",Software Engineer,[],[],true,center,[],"{""primaryColor"":""#8B5CF6"",""secondaryColor"":""#EC4899"",""positioning"":""center"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""none"",""usernameEffect"":""none"",""accentColor"":""#0A0A0a"",""textColor"":""#0A0A0A"",""secondaryTextColor"":""#0A0A0A"",""backgroundColor"":""#0A0A0A"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":false,""aboutMeText"":"""",""aboutMeAdvanced"":false,""showJoinDate"":false,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""showViews"":false,""viewsAnimation"":false,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":false,""allowComments"":false,""commentsPublic"":false,""theme"":""modern"",""forceEnterScreen"":false}",false,false,5,false,false,true,false,,,,,true,false,0,0,0,0,false,false,none,"{""unlimitedImages"":true,""customDomain"":true,""prioritySupport"":true,""analyticsAccess"":true,""customBranding"":true,""adFree"":true}",[],[],[],2026-01-19T14:00:50.214Z,2026-01-19T14:03:57.159Z,2026-01-19T14:00:50.214Z,0,2026-02-18T14:03:57.139Z
"""696ea942c29dd0c813ccfa45""","""696ea941c29dd0c813ccfa3d""",telavivhk685452,telavivhk685452,telavivhk,ישראל היא הבית שלי,ישראלי גאה,"אני מעריץ של סטארביו! אני אוהב את האתר הזה, תהילה לנטניהו.",https://files.catbox.moe/aetj2v.png,center,,center,"Tel Aviv, Israel",open,offline,[],"[""AWS""]","[""Frontend Developer""]",Frontend Developer,[],[],false,center,[],"{""primaryColor"":""#6366F1"",""secondaryColor"":""#EF4444"",""positioning"":""right"",""theme"":""portfolio"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""none"",""usernameEffect"":""none"",""accentColor"":""#3B82F6"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#030303"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""forceEnterScreen"":false,""showViews"":true,""viewsAnimation"":false,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":false,""allowComments"":false,""commentsPublic"":false}",false,false,5,false,false,true,false,https://www.idf.il/,https://twitter.com/IDF,https://github.com/IsraeliTech,https://www.linkedin.com/company/israel-defense-forces/,true,false,0,0,0,0,false,false,none,"{""unlimitedImages"":false,""customDomain"":false,""prioritySupport"":false,""analyticsAccess"":false,""customBranding"":false,""adFree"":false}",[],[],[],2026-01-19T21:59:30.060Z,2026-01-19T21:59:30.079Z,2026-01-19T21:59:30.060Z,0
"""696ea973c29dd0c813ccfab1""","""696ea972c29dd0c813ccfaa9""",israelil5on402,israelil5on402,israelil5on,ישראל תמיד,תומך בישראל,"אני מעריץ של סטארביו! אני אוהב את האתר הזה, תהילה לנטניהו.",https://files.catbox.moe/aetj2v.png,center,,center,"Tel Aviv, Israel",open,offline,[],"[""Vue"",""React"",""Go""]","[""Graphic Designer""]",Graphic Designer,[],[],false,center,[],"{""primaryColor"":""#EF4444"",""secondaryColor"":""#6366F1"",""positioning"":""right"",""theme"":""blue"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""none"",""usernameEffect"":""none"",""accentColor"":""#3B82F6"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#030303"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""forceEnterScreen"":false,""showViews"":true,""viewsAnimation"":false,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":false,""allowComments"":false,""commentsPublic"":false}",false,false,5,false,false,true,false,https://www.idf.il/,https://twitter.com/IDF,https://github.com/IsraeliTech,https://www.linkedin.com/company/israel-defense-forces/,true,false,0,0,0,0,false,false,none,"{""unlimitedImages"":false,""customDomain"":false,""prioritySupport"":false,""analyticsAccess"":false,""customBranding"":false,""adFree"":false}",[],[],[],2026-01-19T22:00:19.803Z,2026-01-19T22:00:19.820Z,2026-01-19T22:00:19.803Z,0
"""696ea97ac29dd0c813ccfac9""","""696ea979c29dd0c813ccfac1""",zionro6165,zionro6165,zionro,תומך בנטניהו,ישראל חזקה,"אני מעריץ של סטארביו! אני אוהב את האתר הזה, תהילה לנטניהו.",https://files.catbox.moe/aetj2v.png,center,,center,"Tel Aviv, Israel",open,offline,[],"[""Kubernetes"",""Photoshop"",""JavaScript""]","[""Product Designer""]",Product Designer,[],[],false,center,[],"{""primaryColor"":""#EF4444"",""secondaryColor"":""#F97316"",""positioning"":""center"",""theme"":""portfolio"",""fontStyle"":""sans-serif"",""cardStyle"":""modern"",""shadowIntensity"":""medium"",""animationSpeed"":""normal"",""enableParticles"":false,""showSocialIcons"":true,""compactMode"":false,""hideStats"":false,""avatarRadius"":50,""profileOpacity"":100,""profileBlur"":0,""backgroundEffect"":""none"",""usernameEffect"":""none"",""accentColor"":""#3B82F6"",""textColor"":""#FFFFFF"",""secondaryTextColor"":""#DDDDDD"",""backgroundColor"":""#030303"",""gradientEnabled"":false,""gradientColors"":[""#3B82F6"",""#8B5CF6""],""backgroundType"":""solid"",""borderEnabled"":false,""borderColor"":""#3B82F6"",""borderRadius"":16,""aboutMeEnabled"":true,""aboutMeAdvanced"":false,""showJoinDate"":true,""timeFormat"":""12h"",""displayMode"":""absolute"",""timeSchema"":""MMM DD, YYYY, HH:mm A"",""volumeControl"":false,""titleAnimation"":""none"",""forceEnterScreen"":false,""showViews"":true,""viewsAnimation"":false,""viewsAnimationDuration"":1000,""parallaxEnabled"":false,""parallaxInverted"":false,""parallaxIntensity"":50,""allowFeedback"":false,""allowComments"":false,""commentsPublic"":false}",false,false,5,false,false,true,false,https://www.idf.il/,https://twitter.com/IDF,https://github.com/IsraeliTech,https://www.linkedin.com/company/israel-defense-forces/,true,false,0,0,0,0,false,false,none,"{""unlimitedImages"":false,""customDomain"":false,""prioritySupport"":false,""analyticsAccess"":false,""customBranding"":false,""adFree"":false}",[],[],[],2026-01-19T22:00:26.847Z,2026-01-19T22:00:26.867Z,2026-01-19T22:00:26.847Z,0
